status	part_public_id	category	internal_name	product_code	source_url	verified_title	reason	point_count
REJECTED_MANUAL_AUDIT	702ffd29-18ac-42b9-a25f-0fdf2cb25db6	PSU	시소닉 NEW FOCUS V4 GX-850 GOLD 풀모듈러 ATX3.1	78844112	https://prod.danawa.com/info/?pcode=78844112	[다나와] 시소닉 CORE V2 GX-850 GOLD 풀모듈러 ATX3.1	psu family mismatch: ['FOCUS V4'] != ['CORE V2']	7
REJECTED_MANUAL_AUDIT	8abba453-1eb2-41b5-94af-37101fddbfc2	PSU	시소닉 NEW FOCUS V4 GX-850 GOLD 풀모듈러 ATX3.1 850W, 블랙	78844112	https://prod.danawa.com/info/?pcode=78844112	[다나와] 시소닉 CORE V2 GX-850 GOLD 풀모듈러 ATX3.1	psu family mismatch: ['FOCUS V4'] != ['CORE V2']	7
REJECTED_MANUAL_AUDIT	6b584659-2272-4cbf-a9b9-80727e86faac	PSU	시소닉 VERTEX GX-1200 GOLD 풀모듈러 화이트 ATX3.1	18698087	https://prod.danawa.com/info/?pcode=18698087	[다나와] 시소닉 VERTEX GX-1200 GOLD 풀모듈러 ATX3.1	WHITE variant missing in title	7
REJECTED_MANUAL_AUDIT	00000000-0000-4000-8000-000000012014	PSU	커세어 RM750e ATX 3.1	90576764	https://prod.danawa.com/info/?pcode=90576764	[다나와] CORSAIR RM750e ETA플래티넘 ATX3.1 화이트	title WHITE variant not in internal	7
REJECTED_MANUAL_AUDIT	b0c17171-fdbb-4149-91b5-456ab2f3135f	PSU	커세어 RM850e ATX3.1	62649599	https://prod.danawa.com/info/?pcode=62649599	[다나와] CORSAIR RMx Series RM850x ATX3.1	psu family mismatch: ['RM850E'] != ['RM850X']	7
REJECTED_MANUAL_AUDIT	c826c74d-f6a0-477f-b6c8-75246a39e790	PSU	쿨러마스터 ELITE GOLD 850 ATX 3.1 풀모듈러 850W, 블랙	75719750	https://prod.danawa.com/info/?pcode=75719750	[다나와] 쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙	psu family mismatch: ['ELITE GOLD'] != ['MWE GOLD']	7
REJECTED_MANUAL_AUDIT	f3121ff9-2301-4296-8e84-d3bd0884cb9c	PSU	쿨러마스터 V SFX Gold 850 ATX3.1	75719750	https://prod.danawa.com/info/?pcode=75719750	[다나와] 쿨러마스터 MWE GOLD 850 V3 ATX3.1 블랙	psu family mismatch: ['V SFX'] != ['MWE GOLD']	7
REJECTED_MANUAL_AUDIT	fb3d2b28-6e39-4904-9042-77517fe03bcb	RAM	마이크론 Crucial DDR5-6000 CL36 PRO Overclocking White 패키지 대원씨티에스 32GB (16Gx2)	39102770	https://prod.danawa.com/info/?pcode=39102770	[다나와] 마이크론 Crucial DDR5-6000 CL36 PRO Overclocking 패키지 대원씨티에스 (32GB(16Gx2))	WHITE variant missing in title	7
REJECTED_MANUAL_AUDIT	2166e693-eb1e-4c9f-9a2b-a56e169bc3d2	RAM	지스킬 DDR5-6000 CL36 AEGIS 5 32GB, 1개	17931893	https://prod.danawa.com/info/?pcode=17931893	[다나와] G.SKILL DDR5-6000 CL36 TRIDENT Z5 NEO RGB J 패키지 (32GB(16Gx2))	ram family mismatch: ['AEGIS'] != ['TRIDENT']	7
REJECTED_MANUAL_AUDIT	00000000-0000-4000-8000-000000013023	STORAGE	Seagate FireCuda 530 4TB M.2 NVMe	61436567	https://prod.danawa.com/info/?pcode=61436567	[다나와] Seagate 파이어쿠다 530R 히트싱크 M.2 NVMe (4TB)	internal term missing in title: FIRECUDA 530	7
REJECTED_MANUAL_AUDIT	c671be43-639c-44cf-80ce-66b4d0fcbdd6	STORAGE	마이크론 Crucial T705 M.2 NVMe (2TB) (중고)	41264228	https://prod.danawa.com/info/?pcode=41264228	[다나와] 마이크론 Crucial T705 M.2 NVMe 대원씨티에스 (2TB)	used/open-box wording	7
VERIFIED_KEEP	9df1082c-a2e5-410a-a678-78e9cfc1ae19	CASE	BE QUIET LIGHT BASE 900 DX 화이트	71277794	https://prod.danawa.com/info/?pcode=71277794	[다나와] be quiet LIGHT BASE 900 DX (화이트)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013035	CASE	Fractal Design Terra	20344595	https://prod.danawa.com/info/?pcode=20344595	[다나와] Fractal Design Terra (제이드)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013033	CASE	Lian Li A3-mATX	68329244	https://prod.danawa.com/info/?pcode=68329244	[다나와] 리안리 A3-mATX (우드 블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	51f31f87-a8b9-4695-a078-b285a8252e9c	CASE	PHANTEKS EVOLV X2 블랙	75376628	https://prod.danawa.com/info/?pcode=75376628	[다나와] Phanteks EVOLV X2 (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	73fc192e-8a1f-4422-b209-eb9648d02f2e	CASE	Phanteks EVOLV X2 (블랙) 미들타워 케이스	75376628	https://prod.danawa.com/info/?pcode=75376628	[다나와] Phanteks EVOLV X2 (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	5b8a4881-0828-4d7e-93dc-71defababc17	CASE	be quiet LIGHT BASE 900 DX 블랙 (빅타워)	71277764	https://prod.danawa.com/info/?pcode=71277764	[다나와] be quiet LIGHT BASE 900 DX (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	a71d093f-8a9f-4f00-b18b-a586ff1b50b2	CASE	커세어 FRAME 4000D RS ARGB 화이트	74011205	https://prod.danawa.com/info/?pcode=74011205	[다나와] CORSAIR FRAME 4000D RS ARGB (화이트)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	92edda29-cd3e-4860-83d6-053b6f56610c	CASE	프렉탈디자인 Meshify 3 XL RGB 화이트	91561406	https://prod.danawa.com/info/?pcode=91561406	[다나와] Fractal Design Meshify 3 XL RGB 강화유리 (화이트)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	e3ad1c18-077d-455d-acdb-36ee387c6c41	CASE	프렉탈디자인 Meshify 3 XL 블랙	91561397	https://prod.danawa.com/info/?pcode=91561397	[다나와] Fractal Design Meshify 3 XL RGB 강화유리 (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013044	COOLER	ARCTIC Liquid Freezer III 240	94450814	https://prod.danawa.com/info/?pcode=94450814	[다나와] ARCTIC Liquid Freezer III PRO 240 서린 (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013045	COOLER	ARCTIC Liquid Freezer III 280	96854585	https://prod.danawa.com/info/?pcode=96854585	[다나와] ARCTIC Liquid Freezer III PRO 280 A-RGB 서린 (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	6281a784-5368-4544-b242-474aca613b2b	COOLER	ARCTIC Liquid Freezer III PRO 360 서린 블랙	92045246	https://prod.danawa.com/info/?pcode=92045246	[다나와] ARCTIC Liquid Freezer III PRO 360 서린	manual-title-check-20260701-round2	7
VERIFIED_KEEP	7e5e7254-e9be-402d-9a4f-80b486963cd2	COOLER	CORSAIR iCUE LINK TITAN 360 RX LCD (화이트)	70003538	https://prod.danawa.com/info/?pcode=70003538	[다나와] CORSAIR iCUE LINK TITAN 360 RX LCD (화이트)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000011707	COOLER	Dark Rock Pro 5	29847737	https://prod.danawa.com/info/?pcode=29847737	[다나와] be quiet DARK ROCK PRO 5	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013042	COOLER	DeepCool AK620	15279728	https://prod.danawa.com/info/?pcode=15279728	[다나와] DEEPCOOL AK620 (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000011709	COOLER	MasterLiquid 360 Atmos	95846972	https://prod.danawa.com/info/?pcode=95846972	[다나와] 쿨러마스터 MASTERLIQUID 360 ATMOS II VRM Fan (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000011703	COOLER	NH-D15 G2	101072159	https://prod.danawa.com/info/?pcode=101072159	[다나와] NOCTUA NH-D15 G2 chromax.black	manual-title-check-20260701-round2	7
VERIFIED_KEEP	b3e8a384-f7d4-4f98-90fc-e602cb5b36e5	COOLER	NZXT KRAKEN ELITE 360 RGB 블랙	77860247	https://prod.danawa.com/info/?pcode=77860247	[다나와] NZXT KRAKEN ELITE V2 360 RGB (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	8dbee14e-9521-40b4-b0c0-a35550ed8695	COOLER	NZXT KRAKEN ELITE V2 360 블랙	77860247	https://prod.danawa.com/info/?pcode=77860247	[다나와] NZXT KRAKEN ELITE V2 360 RGB (블랙)	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013039	COOLER	Noctua NH-L9a-AM5	19230371	https://prod.danawa.com/info/?pcode=19230371	[다나와] NOCTUA NH-L9a-AM5 chromax.black	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000013040	COOLER	Noctua NH-U12A chromax.black	15688298	https://prod.danawa.com/info/?pcode=15688298	[다나와] NOCTUA NH-U12A chromax.black	manual-title-check-20260701-round2	7
VERIFIED_KEEP	00000000-0000-4000-8000-000000011710	COOLER	ROG Ryujin III 360 ARGB	20051603	https://prod.danawa.com/info/?pcode=20051603	[다나와] ASUS ROG RYUJIN III 360 ARGB	manual-title-check-20260701-round2	4
VERIFIED_KEEP	00000000-0000-4000-8000-000000013043	COOLER	Thermalright Peerless Assassin 120 SE	16525058	https://prod.danawa.com/info/?pcode=16525058	[다나와] Thermalright Peerless Assassin 120 SE 서린	manual-title-check-20260701-round2	7
